source,target,importance
PNISR,MZT2B,0.6982405781745911
DDI2,MZT2B,0.6980438828468323
RBM28,MAK16,0.9944710731506348
DDX56,MAK16,0.9929934740066528
DDX24,MAK16,0.9902710914611816
EBNA1BP2,MAK16,0.9896667003631592
RPL30,MAK16,0.9886993169784546
CEBPZ,MAK16,0.9882378578186035
NOP16,MAK16,0.9874337315559387
RPL23,MAK16,0.987043559551239
RPL18A,MAK16,0.9868059754371643
RPL37A,MAK16,0.985363245010376
RPL13,MAK16,0.9853552579879761
RPL6,MAK16,0.9853379726409912
LSG1,MAK16,0.9850903749465942
RPL34,MAK16,0.9848543405532837
RPL21,MAK16,0.9847244620323181
NOP53,MAK16,0.9846933484077454
RPL11,MAK16,0.9844688177108765
NOC3L,MAK16,0.9835715293884277
RPL10A,MAK16,0.9834798574447632
RSL24D1,MAK16,0.9833153486251831
KARS,EIF2S2,0.9918519258499146
SLC7A1,EIF2S2,0.9871077537536621
HBS1L,EIF2S2,0.9846525192260742
EIF2B4,EIF2S2,0.9825998544692993
HIPK1,EIF2S2,0.9814162254333496
PHB2,EIF2S2,0.9808496236801147
PAPOLA,EIF2S2,0.9807115793228149
PRELID1,EIF2S2,0.980388343334198
RARS,EIF2S2,0.9796701669692993
MED12,EIF2S2,0.9796538949012756
PSME3,EIF2S2,0.9794458150863647
TERF2IP,EIF2S2,0.9786163568496704
CRLF3,EIF2S2,0.9782841205596924
CCNF,EIF2S2,0.9780070781707764
PRPF39,EIF2S2,0.9776170253753662
RAB5IF,EIF2S2,0.9774208068847656
PSMC6,EIF2S2,0.9766985177993774
LRIF1,EIF2S2,0.9764584302902222
SERF2,EIF2S2,0.9763816595077515
HMBOX1,EIF2S2,0.9759271144866943
SLC39A6,ELP3,0.947500467300415
ELP5,ELP3,0.8978625535964966
CTU1,ELP3,0.8618951439857483
CTU2,ELP3,0.8599501848220825
CHKB,ELP3,0.8595343828201294
URM1,ELP3,0.786899745464325
ELP2,ELP3,0.7631433010101318
MTCP1,ELP3,0.7597710490226746
METTL17,ELP3,0.7557165622711182
